"","base","no_smurf","OCNMS","RREASN","oceanographic_index","RREAS","Label","Yr"
"28",0.00589741,0.00415936,0.00392136,0.0041701,0.00665506,-0.000525078,"Early_RecrDev_1932",1932
"29",0.00625048,0.00434337,0.00407974,0.00435498,0.00708167,-0.000793846,"Early_RecrDev_1933",1933
"30",0.00653739,0.00444632,0.00415424,0.00445882,0.00744855,-0.00118484,"Early_RecrDev_1934",1934
"31",0.00672875,0.00443726,0.00411304,0.00445061,0.00772699,-0.00173604,"Early_RecrDev_1935",1935
"32",0.00681337,0.00430315,0.00394209,0.00431723,0.00790671,-0.00246874,"Early_RecrDev_1936",1936
"33",0.00682372,0.0040738,0.00366984,0.00408842,0.00802123,-0.00336269,"Early_RecrDev_1937",1937
"34",0.00686548,0.00385134,0.00339703,0.00386649,0.00817793,-0.00432651,"Early_RecrDev_1938",1938
"35",0.00710422,0.00379673,0.00328249,0.00381234,0.00854431,-0.00521338,"Early_RecrDev_1939",1939
"36",0.0077867,0.00415132,0.00356505,0.00416731,0.00936979,-0.00580034,"Early_RecrDev_1940",1940
"37",0.00929425,0.00529004,0.00461681,0.00530621,0.0110388,-0.00573377,"Early_RecrDev_1941",1941
"38",0.012212,0.00778989,0.00701348,0.00780597,0.014141,-0.00445928,"Early_RecrDev_1942",1942
"39",0.0171431,0.0122457,0.0113506,0.0122615,0.0192822,-0.00139587,"Early_RecrDev_1943",1943
"40",0.0243076,0.0188782,0.0178563,0.0188938,0.0266792,0.0037037,"Early_RecrDev_1944",1944
"41",0.0331955,0.0271839,0.0260433,0.0271999,0.035819,0.0104025,"Early_RecrDev_1945",1945
"42",0.0429638,0.0363443,0.0351178,0.0363622,0.0458591,0.018015,"Early_RecrDev_1946",1946
"43",0.0532238,0.0459401,0.0446731,0.0459627,0.0564107,0.0261093,"Early_RecrDev_1947",1947
"44",0.0617374,0.0537273,0.0524678,0.0537592,0.0652437,0.0324724,"Early_RecrDev_1948",1948
"45",0.0622304,0.0534762,0.0522823,0.0535246,0.0660648,0.0310525,"Early_RecrDev_1949",1949
"46",0.0466393,0.0372216,0.0361897,0.0372964,0.0507651,0.0142427,"Early_RecrDev_1950",1950
"47",0.0106454,0.000783873,5.992e-05,0.000894776,0.014968,-0.021725,"Early_RecrDev_1951",1951
"48",-0.039313,-0.0493949,-0.0496644,-0.0492417,-0.0348964,-0.0704797,"Early_RecrDev_1952",1952
"49",-0.0879306,-0.098165,-0.0978816,-0.0979667,-0.0834503,-0.117394,"Early_RecrDev_1953",1953
"50",-0.119573,-0.13006,-0.129167,-0.129814,-0.114986,-0.147476,"Early_RecrDev_1954",1954
"51",-0.133307,-0.14419,-0.14265,-0.143893,-0.128549,-0.159941,"Early_RecrDev_1955",1955
"52",-0.158441,-0.169621,-0.167441,-0.169272,-0.153556,-0.183488,"Early_RecrDev_1956",1956
"53",-0.206058,-0.217256,-0.214489,-0.216862,-0.201169,-0.228828,"Early_RecrDev_1957",1957
"54",-0.234199,-0.24539,-0.242032,-0.244944,-0.229316,-0.254507,"Early_RecrDev_1958",1958
"55",-0.168061,-0.179644,-0.175545,-0.179109,-0.163005,-0.186243,"Early_RecrDev_1959",1959
"56",0.0542474,0.0417181,0.0467696,0.04232,0.0597241,0.036542,"Early_RecrDev_1960",1960
"57",0.318459,0.310598,0.314111,0.309968,0.321823,0.291677,"Early_RecrDev_1961",1961
"58",0.240449,0.218719,0.230107,0.221025,0.249988,0.237119,"Main_RecrDev_1962",1962
"59",-0.114771,-0.129848,-0.121059,-0.128497,-0.108168,-0.118888,"Main_RecrDev_1963",1963
"60",-0.315202,-0.329971,-0.32069,-0.328622,-0.308736,-0.317283,"Main_RecrDev_1964",1964
