"year","month","fleet","obs","logse"
"2014",7,NA,0.02767428569728,0.536785490321525
"2015",7,NA,0.000720441741812613,0.831862512817661
"2016",7,NA,0.0394822846363249,0.661132595475616
"2017",7,NA,0.019565752880576,0.699414756902614
"2018",7,NA,0.00896879255221856,0.697498960508911
"2019",7,NA,0.0381863197508417,0.663394540043947
"2021",7,NA,0.161331971003309,0.717031707603476
"2022",7,NA,0.0120500204373957,0.752229135380994
"2023",7,NA,0.0650284523091995,0.687889679051926
"2024",7,NA,0.0360516869861324,0.659588172601184
