"year","month","fleet","obs","logse"
"2014",7,NA,0.085845802899178,0.461286907025749
"2015",7,NA,0.00250547547931296,0.766466082757064
"2016",7,NA,0.137929197963348,0.604122726812535
"2017",7,NA,0.0838868859348806,0.621722489223268
"2018",7,NA,0.0399272680539417,0.599217546893258
"2019",7,NA,0.105637567026612,0.572529890910023
"2021",7,NA,0.370323886674149,0.624101210681992
"2022",7,NA,0.0280259869818868,0.667384983886866
"2023",7,NA,0.191577823959574,0.608832331043166
"2024",7,NA,0.0955121105500702,0.58441245412165
