"year","month","fleet","obs","logse"
"2014",7,NA,0.0728064522068876,0.352843891924815
"2015",7,NA,0.00168736497892889,0.575803053750007
"2016",7,NA,0.0682818547859223,0.301777629483787
"2017",7,NA,0.0509613745391868,0.341915937585535
"2018",7,NA,0.0248566089559805,0.379003373014221
"2019",7,NA,0.0546513076747636,0.312999364785281
"2021",7,NA,0.1725871488993,0.394655289309279
"2022",7,NA,0.016402628000778,0.458611486422986
"2023",7,NA,0.115014168201941,0.361492221897011
"2024",7,NA,0.0795073631428267,0.288332081253038
