"year","month","fleet","obs","logse"
"2014",7,NA,0.0174140241267855,0.353426652367406
"2015",7,NA,0.000790805367819404,0.564546965070779
"2016",7,NA,0.0353572267473629,0.265576430832976
"2017",7,NA,0.0201518834736322,0.315489407040726
"2018",7,NA,0.00984145755881432,0.360052459929053
"2019",7,NA,0.0375204071709583,0.357295792705308
"2021",7,NA,0.177528392702211,0.433309182485576
"2022",7,NA,0.0163266362310886,0.503572168065142
"2023",7,NA,0.0883871035327529,0.371286693521847
"2024",7,NA,0.0548709823831055,0.382363094891162
