"year","month","fleet","obs","logse"
"2014",7,NA,0.0610467630603591,0.348719119887971
"2015",7,NA,0.00131566395935469,0.571587690496396
"2016",7,NA,0.0817225640698043,0.320471935050653
"2017",7,NA,0.0364667221830535,0.352589958653316
"2018",7,NA,0.0215111185210086,0.376751425369006
"2019",7,NA,0.0443116284240066,0.33241719747185
"2021",7,NA,0.24019914643063,0.396087110616599
"2022",7,NA,0.0179665265368469,0.472815946007317
"2023",7,NA,0.118561662374961,0.343654403897051
"2024",7,NA,0.074437927900763,0.267040733883893
