"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-3.57,0.54,-4.63,-2.52
"year2015",-3.65,0.64,-4.89,-2.4
"year2016",0.36,0.43,-0.48,1.2
"year2017",-0.34,0.46,-1.24,0.56
"year2018",-1.12,0.47,-2.04,-0.2
"year2019",0.31,0.45,-0.57,1.2
"year2021",1.78,0.52,0.76,2.8
"year2022",-0.82,0.56,-1.92,0.28
"year2023",0.86,0.46,-0.05,1.77
"year2024",0.27,0.48,-0.66,1.21
"regionSouth",1.1,0.23,0.65,1.54
"month6",1.02,0.26,0.51,1.53
"month7",0.14,0.31,-0.47,0.75
"temp_bin(60,70]",0.45,0.53,-0.58,1.48
"temp_bin(70,80]",0.36,0.53,-0.68,1.41
"temp_bin(80,90]",-0.15,0.57,-1.27,0.97
"temp_bin(90,120]",-0.83,0.67,-2.14,0.48
