"year","month","fleet","obs","logse"
"2014",7,NA,0.0280741491453592,0.536845895501734
"2015",7,NA,0.000730149288391827,0.831091796549863
"2016",7,NA,0.0402424487200025,0.660705612806237
"2017",7,NA,0.0200000986705776,0.699013400572234
"2018",7,NA,0.0091677189896463,0.696919319579346
"2019",7,NA,0.038356766267489,0.663158020332858
"2021",7,NA,0.16613643131896,0.716106004294133
"2022",7,NA,0.0123789248060823,0.751221473198986
"2023",7,NA,0.0665700453433495,0.687129973513079
"2024",7,NA,0.0368601116057808,0.658832876429648
