"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.46,0.46,-3.36,-1.55
"year2015",-3.53,0.63,-4.77,-2.3
"year2016",0.47,0.43,-0.37,1.32
"year2017",-0.02,0.45,-0.9,0.86
"year2018",-0.77,0.45,-1.65,0.12
"year2019",0.21,0.43,-0.64,1.06
"year2021",1.46,0.49,0.5,2.42
"year2022",-1.12,0.54,-2.17,-0.07
"year2023",0.8,0.45,-0.08,1.68
"year2024",0.11,0.46,-0.8,1.01
"regionSouth",0.99,0.23,0.55,1.44
"temp_bin(60,70]",-0.13,0.51,-1.14,0.87
"temp_bin(70,80]",-0.15,0.53,-1.19,0.88
"temp_bin(80,90]",-0.74,0.57,-1.85,0.38
"temp_bin(90,120]",-1.71,0.65,-2.98,-0.44
