"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-3.59,0.42,-4.41,-2.78
"year2015",-3.7,0.6,-4.88,-2.52
"year2016",0.35,0.38,-0.4,1.1
"year2017",-0.49,0.4,-1.27,0.29
"year2018",-1.14,0.43,-1.99,-0.28
"year2019",0.01,0.42,-0.82,0.83
"year2021",1.8,0.5,0.82,2.78
"year2022",-0.72,0.54,-1.77,0.34
"year2023",0.97,0.43,0.14,1.8
"year2024",0.59,0.45,-0.29,1.47
"regionSouth",1.34,0.2,0.94,1.73
"month6",1.06,0.25,0.56,1.56
"month7",0.19,0.32,-0.43,0.82
"temp_bin(-1,-0.5]",0.43,0.28,-0.11,0.97
"temp_bin(-0.5,0]",0.17,0.3,-0.42,0.76
"temp_bin(0,0.5]",-0.36,0.31,-0.97,0.25
"temp_bin(0.5,2]",-0.08,0.33,-0.73,0.57
