"year","month","fleet","obs","logse"
"2014",7,NA,0.0564430274461044,0.479938198271444
"2015",7,NA,0.00121548844557355,0.667315943451142
"2016",7,NA,0.054232851927085,0.476942483167708
"2017",7,NA,0.0344587640717796,0.544907997411938
"2018",7,NA,0.0206267528411517,0.508899793880758
"2019",7,NA,0.0756503261736518,0.528195922379093
"2021",7,NA,0.43419923105681,0.564292639056755
"2022",7,NA,0.0619713453907353,0.65816213561187
"2023",7,NA,0.185766518975599,0.526542154617374
"2024",7,NA,0.0864101843076229,0.429281969339695
