"year","month","fleet","obs","logse"
"2014",7,NA,0.104362194594442,0.386213379317497
"2015",7,NA,0.00231901776196173,0.595859956782549
"2016",7,NA,0.104981563675908,0.431240287646829
"2017",7,NA,0.0788832103272612,0.450030166701964
"2018",7,NA,0.0412866811936592,0.419146215975991
"2019",7,NA,0.0860485221648513,0.40388727950278
"2021",7,NA,0.402726514937633,0.460744185859234
"2022",7,NA,0.038767451293631,0.552246216194116
"2023",7,NA,0.161930284590906,0.388978046895045
"2024",7,NA,0.0814651237255402,0.273570730543757
