"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.8,0.35,-3.48,-2.11
"year2015",-3.84,0.6,-5.01,-2.67
"year2016",0.29,0.38,-0.45,1.04
"year2017",-0.52,0.4,-1.29,0.26
"year2018",-1.04,0.43,-1.88,-0.2
"year2019",-0.32,0.4,-1.1,0.46
"year2021",1.37,0.47,0.45,2.29
"year2022",-1.22,0.51,-2.22,-0.22
"year2023",0.66,0.4,-0.13,1.46
"year2024",0.2,0.42,-0.63,1.02
"regionSouth",1.31,0.2,0.91,1.71
"temp_bin(-1,-0.5]",0.46,0.28,-0.1,1.02
"temp_bin(-0.5,0]",0.24,0.3,-0.35,0.83
"temp_bin(0,0.5]",-0.44,0.31,-1.06,0.17
"temp_bin(0.5,2]",-0.21,0.34,-0.87,0.45
