"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.04,0.64,-3.3,-0.77
"year2015",-3.55,0.61,-4.74,-2.36
"year2016",0.09,0.4,-0.69,0.88
"year2017",0.14,0.41,-0.67,0.95
"year2018",-1.02,0.45,-1.91,-0.13
"year2019",0.3,0.43,-0.54,1.13
"year2021",0.47,0.49,-0.49,1.44
"year2022",-1.35,0.54,-2.41,-0.28
"year2023",0.6,0.45,-0.28,1.48
"year2024",-0.17,0.44,-1.02,0.69
"temp_bin(7,8]",0.28,0.59,-0.89,1.44
"temp_bin(8,9]",-0.05,0.56,-1.14,1.05
"temp_bin(9,10]",0.26,0.57,-0.85,1.37
"temp_bin(10,11]",-0.68,0.65,-1.95,0.6
"temp_bin(11,15]",-1.93,0.59,-3.09,-0.77
