"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.26,0.39,-3.02,-1.5
"year2015",-3.81,0.6,-4.99,-2.62
"year2016",0.01,0.43,-0.83,0.84
"year2017",-0.28,0.43,-1.12,0.56
"year2018",-0.93,0.44,-1.78,-0.07
"year2019",-0.19,0.4,-0.98,0.59
"year2021",1.35,0.49,0.4,2.3
"year2022",-0.99,0.55,-2.08,0.1
"year2023",0.44,0.43,-0.41,1.28
"year2024",-0.25,0.42,-1.07,0.58
"regionSouth",0.95,0.24,0.48,1.42
"temp_bin(-1,-0.5]",0.14,0.32,-0.5,0.77
"temp_bin(-0.5,0]",-0.38,0.36,-1.08,0.32
"temp_bin(0,0.5]",-0.27,0.4,-1.05,0.52
"temp_bin(0.5,2.1]",-1.58,0.46,-2.48,-0.69
