"year","month","fleet","obs","logse"
"2014",7,NA,0.104362194594442,0.386213379317411
"2015",7,NA,0.00231901776196173,0.595859956782649
"2016",7,NA,0.104981563675908,0.431240287646809
"2017",7,NA,0.0788832103272613,0.450030166701982
"2018",7,NA,0.0412866811936593,0.419146215975975
"2019",7,NA,0.0860485221648514,0.4038872795028
"2021",7,NA,0.402726514937633,0.460744185859255
"2022",7,NA,0.0387674512936311,0.552246216194083
"2023",7,NA,0.161930284590906,0.388978046894941
"2024",7,NA,0.0814651237255402,0.273570730543787
